date,home_team,away_team,home_score,away_score,total_runs
2022-03-01,TOR,DET,0,0,0
2022-03-03,TOR,NYY,0,0,0
2022-03-04,TOR,PIT,0,0,0
2022-03-06,TOR,BOS,0,0,0
2022-03-09,TOR,DET,0,0,0
2022-03-11,TOR,PHI,0,0,0
2022-03-13,TOR,MIN,0,0,0
2022-03-15,TOR,TB,0,0,0
2022-03-17,BOS,MIN,14,1,15
2022-03-17,CWS,CHC,5,2,7
2022-03-17,CHC,CWS,3,4,7
2022-03-17,COL,AZ,5,3,8
2022-03-18,STL,HOU,4,2,6
2022-03-18,BOS,TB,7,6,13
2022-03-18,BAL,TOR,5,9,14
2022-03-18,DET,PHI,6,6,12
2022-03-18,ATL,MIN,3,1,4
2022-03-18,PIT,NYY,4,3,7
2022-03-18,CLE,CIN,3,2,5
2022-03-18,ATH,LAA,10,8,18
2022-03-18,TEX,KC,5,5,10
2022-03-18,LAD,MIL,3,3,6
2022-03-18,AZ,COL,3,5,8
2022-03-18,SD,SEA,6,4,10
2022-03-18,WSH,MIA,3,8,11
2022-03-18,SF,CHC,3,7,10
2022-03-19,PIT,DET,6,3,9
2022-03-19,MIN,BOS,0,1,1
2022-03-19,PHI,TOR,3,2,5
2022-03-19,TB,ATL,4,4,8
2022-03-19,MIA,HOU,10,2,12
2022-03-19,BAL,NYY,3,3,6
2022-03-19,CHC,SD,5,4,9
2022-03-19,CWS,CLE,2,11,13
2022-03-19,TEX,MIL,0,11,11
2022-03-19,LAA,AZ,12,5,17
2022-03-19,SEA,LAD,7,6,13
2022-03-19,COL,SF,5,8,13
2022-03-19,WSH,NYM,2,6,8
2022-03-19,CIN,ATH,9,3,12
2022-03-20,BOS,BAL,3,2,5
2022-03-20,HOU,WSH,2,3,5
2022-03-20,MIN,TB,3,0,3
2022-03-20,ATL,PHI,5,1,6
2022-03-20,NYY,DET,7,8,15
2022-03-20,TOR,PIT,10,4,14
2022-03-20,NYM,STL,4,6,10
2022-03-20,KC,AZ,11,10,21
2022-03-20,LAD,CHC,2,2,4
2022-03-20,ATH,CLE,9,9,18
2022-03-20,CIN,SF,9,4,13
2022-03-20,SEA,LAA,3,7,10
2022-03-20,COL,CWS,2,4,6
2022-03-20,MIL,SD,6,3,9
2022-03-21,TB,PIT,1,5,6
2022-03-21,DET,TOR,1,3,4
2022-03-21,BAL,MIN,10,8,18
2022-03-21,BOS,ATL,5,0,5
2022-03-21,MIA,NYM,3,0,3
2022-03-21,NYY,PHI,5,2,7
2022-03-21,CHC,CIN,3,2,5
2022-03-21,CLE,TEX,12,25,37
2022-03-21,CWS,LAD,8,6,14
2022-03-21,LAA,KC,5,8,13
2022-03-21,SD,COL,4,8,12
2022-03-21,AZ,SEA,9,1,10
2022-03-21,WSH,STL,3,7,10
2022-03-21,SF,MIL,6,13,19
2022-03-22,PIT,BAL,9,10,19
2022-03-22,TB,BOS,2,4,6
2022-03-22,PHI,DET,7,2,9
2022-03-22,MIN,ATL,0,4,4
2022-03-22,STL,MIA,4,3,7
2022-03-22,TOR,NYY,9,2,11
2022-03-22,LAD,CIN,8,10,18
